id,couse_code,couse_name,couse_year,couse_detail,created_at,updated_at,user_id
1,41102,คอมพิวเตอร์พื้นฐาน,2560,คอมพิวเตอร์พื้นฐาน ม.4,2018-05-20 13:16:27.236369,2018-05-20 13:16:27.236369,3
2,015xdd,course 01,2651,"",2018-05-21 16:31:13.439299,2018-05-21 16:31:13.439299,1
3,,ภาษาอังกฤษพื้นฐาน,2561,ภาษาอังกฤษพิ้นฐานระดับชั้น ม.4 ,2018-05-25 03:08:46.170888,2018-05-25 03:08:46.170888,3
4,,ภาษาอังกฤษพื้นฐาน,2561,ภาษาอังกฤษพิ้นฐานระดับชั้น ม.4 ,2018-05-25 03:14:56.615648,2018-05-25 03:14:56.615648,10
5,,คณิตศาสตร์,2018,คณิตศาสตร์ ม.6,2018-05-27 14:07:35.35113,2018-05-27 14:07:35.35113,17
6,,ทดสอบ,2561,test,2018-06-03 13:15:01.705719,2018-06-03 13:15:01.705719,10
7,,ฟิสิกส์ 1,2561,"",2018-06-04 03:19:33.725808,2018-06-04 03:19:33.725808,20
8,,ฟิสิกส์ 3,2561,"",2018-06-04 03:37:06.955567,2018-06-04 03:37:06.955567,20
9,,อ32101 ภาษาอังกฤษ,2561,"",2018-06-06 03:31:16.708976,2018-06-06 03:31:16.708976,83
10,,ภาษาไทย ๕,2561,ภาษาไทย ม. ๓ ภาคเรียนที่ ๑ ปีการศึกษา ๒๕๖๐,2018-06-06 14:22:23.364765,2018-06-06 14:22:23.364765,91
11,,สังคมศึกษา 3,2561,เศรษฐศาสตร์เพื่อสร้างความเป็นพลเมือง,2018-06-08 14:54:46.438418,2018-06-08 14:54:46.438418,116
12,,ภาษาอังกฤษในชีวิตประจำวัน,2562,สอนเด็กห้องธรรมดา,2018-06-09 08:10:56.913231,2018-06-09 08:10:56.913231,10
13,,ภาษาอังกฤษพื้นฐาน,2561,คอมพิวเตอร์พื้นฐาน ม.4,2018-06-09 08:22:54.247568,2018-06-09 08:22:54.247568,117
14,,ภาษาอังกฤษพื้นฐาน 3 ม.5,2561,"",2018-06-11 02:55:37.875617,2018-06-11 02:55:37.875617,120
15,,วิทยาศาสตร์5,2561,วิทยาศาสตร์พื้นฐานชั้นมัธยมทศึกษาปีที่ 3 ,2018-06-11 08:24:43.846916,2018-06-11 08:24:43.846916,121
16,,วิทยาศาสตร์ชีวภาพ,2561,วิทยาศาสตร์พื้นฐานชั้นมัธยมศึกษาปีที่ 4,2018-06-11 08:26:00.135383,2018-06-11 08:26:00.135383,121
17,,ว31111 วิทยาการคำนวณ,2561,"",2018-06-11 08:46:30.994503,2018-06-11 08:46:30.994503,122
18,,ค33201,2561,"",2018-06-11 09:57:26.61232,2018-06-11 09:57:26.61232,123
19,,วิทยาการคำนวณ,2561,ระดับชั้นมัธยมศึกษาปีที่ 4,2018-06-13 02:59:20.167868,2018-06-13 02:59:20.167868,10
20,,ธุรกิจเพื่อเศรษฐกิจที่พอเพียง 1,2561,"",2018-06-18 05:44:23.071513,2018-06-18 05:44:23.071513,125
21,,การงานอาชีพ 3,2561,"",2018-06-19 02:05:48.748096,2018-06-19 02:05:48.748096,125
22,,22212,2561,"",2018-06-24 12:59:56.193345,2018-06-24 12:59:56.193345,166
23,,ประวัติศาสตร์ ,2561,"",2018-06-25 15:02:34.899727,2018-06-25 15:02:34.899727,10
25,,การบัญชี1,2561,"",2018-08-19 06:53:14.897438,2018-08-19 06:53:14.897438,169
24,,ฟิิสิกส์ 1 (ว31211),2561,"",2018-08-19 06:53:01.782006,2018-08-19 06:53:22.584641,181
27,,ชีววิทยาพื้นฐาน,2561,1. การเคลื่อนที่ของสารผ่านเซลล์,2018-08-19 06:53:36.262888,2018-08-19 06:53:36.262888,175
28,,คณิตศาสตร์เพิ่มเติม 1 (ค31201),2561,"",2018-08-19 06:53:42.755582,2018-08-19 06:53:42.755582,174
29,,ชีววิทยา,2561,"",2018-08-19 06:53:45.940397,2018-08-19 06:53:45.940397,187
30,,เคมี 1,2561,ภาคเรียนที่ 1,2018-08-19 06:53:46.050831,2018-08-19 06:53:46.050831,177
31,,คณิตศาสตร์เพิ่มเติม ค22201,2561,1.เลขยกกำลัง,2018-08-19 06:53:51.486845,2018-08-19 06:53:51.486845,179
32,, ส 21103 ประวัติศาสตร์ 1,2561,โรงเรียนราชประชาสมาสัย ฝ่ายมัธยมฯ,2018-08-19 06:54:07.516041,2018-08-19 06:54:07.516041,172
34,,ง 13101,2561,ภาคการศึกษาต้น,2018-08-19 06:54:07.541013,2018-08-19 06:54:07.541013,197
35,,ค21101 คณิตศาสตร์พื้นฐาน,2561,ภาคเรียนที่ 1,2018-08-19 06:54:08.176621,2018-08-19 06:54:08.176621,186
36,,ว 33204 ฟิสิกส์ 4,2561,ภาคเรียนที่ 1,2018-08-19 06:54:08.188115,2018-08-19 06:54:08.188115,185
37,,ค23201,2561,ภาคเรียนที่ 1,2018-08-19 06:54:08.245567,2018-08-19 06:54:08.245567,182
38,,ว21101 วิทยาศาสตร์ 1,2561,ภาคเรียนที่ 1,2018-08-19 06:54:08.759764,2018-08-19 06:54:08.759764,189
39,,ศิลปะ 3,2561,ภาคเรียนที่ 1,2018-08-19 06:54:09.054133,2018-08-19 06:54:09.054133,168
40,,ท101 ภาษาไทย 1,2561,ภาคการศึกษาต้น,2018-08-19 06:54:10.015299,2018-08-19 06:54:10.015299,201
41,,คณิตศาสตร์เพิ่มเติม ค32201,2561,ภาคเรียนที่ 1,2018-08-19 06:54:10.323436,2018-08-19 06:54:10.323436,195
42,,สังคมศึกษา ส32101,2561,ภาคเรียนที่ 1,2018-08-19 06:54:10.691558,2018-08-19 06:54:10.691558,203
43,,ส21101 สังคมศึกษา,2561,ภาคเรียนท่ี  1,2018-08-19 06:54:10.924859,2018-08-19 06:54:10.924859,205
44,,ศ21101,2561,ภาคเรียนที่ 1,2018-08-19 06:54:11.237692,2018-08-19 06:54:11.237692,184
45,,ชีววิทยา,2561,"",2018-08-19 06:54:12.217606,2018-08-19 06:54:12.217606,187
46,,ศ23101,2561,ภาคเรียนที่1,2018-08-19 06:54:12.317506,2018-08-19 06:54:12.317506,206
47,,ชีววิทยา 4 ว 33244,2561,ภาคเรียนที่ 1,2018-08-19 06:54:12.721723,2018-08-19 06:54:12.721723,194
48,,คณิตศาสตร์,2561,ภาคเรียนที่1,2018-08-19 06:54:13.374779,2018-08-19 06:54:13.374779,190
49,,ง.23101 การงานอาชีพ,2561,งานธุรกิจ,2018-08-19 06:54:13.840835,2018-08-19 06:54:13.840835,191
50,,ห้องสมุดเพื่อการเรียนรู้ ท21201,2561,โรงเรียนทวีธาภิเศก ภาคเรียนที่ 1,2018-08-19 06:54:15.368538,2018-08-19 06:54:15.368538,207
