id,status,created_at,updated_at,room_id,user_id,course_id,average_score,grade,is_point_attr,studenno
50,pending,2018-06-05 06:55:30.695068,2018-06-05 06:55:30.695068,7,64,8,0,,f,
11,approved,2018-06-03 13:21:34.230092,2018-06-03 13:22:41.501056,5,11,6,0,,f,
228,pending,2019-09-06 07:36:41.116232,2019-09-06 07:36:41.116232,120,327,121,0,,f,
2,approved,2018-05-21 16:32:50.850697,2018-05-23 18:09:55.176163,2,2,2,50,D,f,1
1,approved,2018-05-20 13:35:48.474161,2018-05-24 08:30:35.001003,1,4,1,82.1,A,f,22
3,approved,2018-05-21 19:14:25.635539,2018-05-24 08:30:39.584888,1,5,1,82.17,A,f,14
18,approved,2018-06-04 06:01:13.317697,2018-06-07 21:22:07.332161,6,23,7,0,,f,33
15,approved,2018-06-04 06:01:04.136642,2018-06-07 21:22:18.426303,6,24,7,0,,f,32
26,approved,2018-06-04 06:02:42.854855,2018-06-07 21:21:49.083658,6,22,7,0,,f,3
41,approved,2018-06-04 06:06:03.233889,2018-06-07 21:22:28.593994,6,25,7,0,,f,8
27,approved,2018-06-04 06:02:53.316632,2018-06-07 21:22:36.595054,6,26,7,0,,f,14
12,approved,2018-06-04 06:00:39.891141,2018-06-07 21:22:47.497852,6,27,7,0,,f,31
14,approved,2018-06-04 06:00:58.474361,2018-06-07 21:22:59.601434,6,28,7,0,,f,13
17,approved,2018-06-04 06:01:11.566691,2018-06-07 21:23:10.820017,6,29,7,0,,f,22
22,approved,2018-06-04 06:01:39.005258,2018-06-07 21:23:24.26259,6,35,7,0,,f,32
29,approved,2018-06-04 06:03:08.473417,2018-06-07 21:23:38.003751,6,36,7,0,,f,24
23,approved,2018-06-04 06:01:59.76788,2018-06-07 21:23:58.672112,6,42,7,0,,f,17
31,approved,2018-06-04 06:03:14.443563,2018-06-07 21:24:07.195949,6,38,7,0,,f,2
19,approved,2018-06-04 06:01:20.962262,2018-06-07 21:24:28.645108,6,32,7,0,,f,6
24,approved,2018-06-04 06:02:28.682261,2018-06-07 21:24:39.649624,6,43,7,0,,f,30
51,pending,2018-06-05 06:55:32.361995,2018-06-05 06:55:32.361995,7,62,8,0,,f,
20,approved,2018-06-04 06:01:27.011384,2018-06-07 21:24:52.329272,6,33,7,0,,f,11
21,approved,2018-06-04 06:01:34.121995,2018-06-07 21:25:01.48253,6,30,7,0,,f,15
5,approved,2018-05-25 04:39:15.341879,2018-09-27 04:33:13.343686,3,12,4,61.3,2,f,10
8,approved,2018-05-25 04:49:24.014541,2018-09-27 04:33:12.336059,3,15,4,67.65,2.5,f,5
52,pending,2018-06-05 06:55:35.700698,2018-06-05 06:55:35.700698,7,65,8,0,,f,
53,pending,2018-06-05 06:55:39.807507,2018-06-05 06:55:39.807507,7,64,8,0,,f,
54,pending,2018-06-05 06:55:47.47604,2018-06-05 06:55:47.47604,7,68,8,0,,f,
16,approved,2018-06-04 06:01:09.277635,2018-06-07 21:25:13.593451,6,31,7,0,,f,21
35,approved,2018-06-04 06:03:55.552417,2018-06-07 21:25:22.393681,6,37,7,0,,f,29
30,approved,2018-06-04 06:03:09.720035,2018-06-07 21:25:30.225912,6,39,7,0,,f,5
25,approved,2018-06-04 06:02:29.680884,2018-06-07 21:25:41.372599,6,40,7,0,,f,28
28,approved,2018-06-04 06:03:01.214678,2018-06-07 21:25:50.002143,6,41,7,0,,f,4
32,approved,2018-06-04 06:03:38.64169,2018-06-07 21:25:59.590177,6,44,7,0,,f,9
34,approved,2018-06-04 06:03:39.698127,2018-06-07 21:26:06.210905,6,46,7,0,,f,35
40,approved,2018-06-04 06:05:56.923753,2018-06-07 21:26:09.893074,6,47,7,0,,f,1
36,approved,2018-06-04 06:04:02.471266,2018-06-07 21:26:35.105181,6,49,7,0,,f,23
33,approved,2018-06-04 06:03:39.535587,2018-06-07 21:26:45.51378,6,50,7,0,,f,7
37,approved,2018-06-04 06:04:58.846987,2018-06-07 21:26:57.907609,6,51,7,0,,f,16
38,approved,2018-06-04 06:05:07.716466,2018-06-07 21:27:05.780769,6,53,7,0,,f,10
39,approved,2018-06-04 06:05:33.225869,2018-06-07 21:27:17.725422,6,54,7,0,,f,25
42,approved,2018-06-04 06:06:03.650046,2018-06-07 21:27:28.198431,6,55,7,0,,f,19
43,approved,2018-06-04 06:49:53.752859,2018-06-07 21:27:36.501867,6,56,7,0,,f,34
74,approved,2018-06-06 13:35:34.025368,2018-06-08 04:00:54.593211,8,90,9,0,,f,
4,approved,2018-05-25 04:35:58.575531,2018-09-27 04:33:12.007294,3,11,4,82.25,4,f,4
6,approved,2018-05-25 04:40:20.894199,2019-01-08 08:12:38.080594,3,13,4,80,4,f,2
10,approved,2018-05-28 09:04:43.427682,2018-09-27 04:33:13.010475,3,18,4,75.45,3.5,f,9
7,approved,2018-05-25 04:46:51.064643,2018-09-27 04:33:12.648469,3,14,4,77.625,3.5,f,8
44,pending,2018-06-05 06:54:16.31329,2018-06-05 06:54:16.31329,7,57,8,0,,f,
45,pending,2018-06-05 06:54:39.080254,2018-06-05 06:54:39.080254,7,58,8,0,,f,
46,pending,2018-06-05 06:54:39.980326,2018-06-05 06:54:39.980326,7,59,8,0,,f,
47,pending,2018-06-05 06:55:11.736855,2018-06-05 06:55:11.736855,7,63,8,0,,f,
48,pending,2018-06-05 06:55:21.42488,2018-06-05 06:55:21.42488,7,60,8,0,,f,
49,pending,2018-06-05 06:55:24.532825,2018-06-05 06:55:24.532825,7,66,8,0,,f,
55,pending,2018-06-05 06:55:54.824274,2018-06-05 06:55:54.824274,7,70,8,0,,f,
56,pending,2018-06-05 06:55:58.456325,2018-06-05 06:55:58.456325,7,69,8,0,,f,
57,pending,2018-06-05 06:56:02.097739,2018-06-05 06:56:02.097739,7,71,8,0,,f,
58,pending,2018-06-05 06:56:10.221587,2018-06-05 06:56:10.221587,7,67,8,0,,f,
59,pending,2018-06-05 06:56:14.400688,2018-06-05 06:56:14.400688,7,72,8,0,,f,
60,pending,2018-06-05 06:56:31.195868,2018-06-05 06:56:31.195868,7,74,8,0,,f,
61,pending,2018-06-05 06:56:31.71657,2018-06-05 06:56:31.71657,7,75,8,0,,f,
62,pending,2018-06-05 06:56:36.569279,2018-06-05 06:56:36.569279,7,76,8,0,,f,
63,pending,2018-06-05 06:56:56.394878,2018-06-05 06:56:56.394878,7,61,8,0,,f,
64,pending,2018-06-05 06:57:23.34141,2018-06-05 06:57:23.34141,7,79,8,0,,f,
65,pending,2018-06-05 06:57:43.819853,2018-06-05 06:57:43.819853,7,73,8,0,,f,
66,pending,2018-06-05 06:57:50.274138,2018-06-05 06:57:50.274138,7,77,8,0,,f,
67,pending,2018-06-05 06:57:53.669716,2018-06-05 06:57:53.669716,7,78,8,0,,f,
68,pending,2018-06-05 06:58:18.446136,2018-06-05 06:58:18.446136,7,59,8,0,,f,
69,pending,2018-06-05 06:58:56.965705,2018-06-05 06:58:56.965705,7,80,8,0,,f,
70,pending,2018-06-05 06:59:29.523445,2018-06-05 06:59:29.523445,7,82,8,0,,f,
9,approved,2018-05-25 04:50:18.744629,2018-09-27 04:33:14.103391,3,16,4,63.175,2,f,11
71,approved,2018-06-06 06:21:53.035534,2018-06-06 12:39:11.083062,8,84,9,0,,f,
72,approved,2018-06-06 06:23:07.574309,2018-06-06 12:39:14.434492,8,86,9,0,,f,
73,approved,2018-06-06 13:04:10.79477,2018-06-08 04:00:56.54459,8,89,9,0,,f,
229,approved,2020-08-23 07:00:46.981566,2020-08-23 07:01:20.740665,171,9,151,0,,t,
75,approved,2018-06-06 14:30:17.72953,2018-06-06 14:32:28.884009,9,92,10,0,,f,
13,approved,2018-06-04 06:00:52.059679,2018-06-07 21:21:35.182316,6,21,7,0,,f,18
76,approved,2018-06-08 04:00:05.485867,2018-06-08 04:00:58.713364,8,88,9,0,,f,
77,approved,2018-06-08 04:02:51.124013,2018-06-08 04:04:04.093056,8,87,9,0,,f,
78,approved,2018-06-08 04:03:36.002696,2018-06-08 04:04:06.031153,8,85,9,0,,f,
79,approved,2018-06-08 04:03:58.301194,2018-06-08 04:04:07.951816,8,94,9,0,,f,
85,approved,2018-06-08 04:05:27.696956,2018-06-08 04:05:53.794157,8,100,9,0,,f,
80,approved,2018-06-08 04:04:31.329698,2018-06-08 04:05:56.661279,8,95,9,0,,f,
81,approved,2018-06-08 04:04:54.401185,2018-06-08 04:05:58.493481,8,96,9,0,,f,
82,approved,2018-06-08 04:05:08.349507,2018-06-08 04:06:00.60169,8,97,9,0,,f,
83,approved,2018-06-08 04:05:12.987005,2018-06-08 04:06:03.196534,8,98,9,0,,f,
84,approved,2018-06-08 04:05:24.811226,2018-06-08 04:06:05.792239,8,99,9,0,,f,
86,approved,2018-06-08 04:06:08.273689,2018-06-08 04:08:24.797058,8,102,9,0,,f,
87,approved,2018-06-08 04:06:13.96214,2018-06-08 04:08:26.290654,8,101,9,0,,f,
88,approved,2018-06-08 04:06:53.956984,2018-06-08 04:08:28.010002,8,103,9,0,,f,
89,approved,2018-06-08 04:07:10.261042,2018-06-08 04:08:29.937498,8,105,9,0,,f,
90,approved,2018-06-08 04:07:35.765599,2018-06-08 04:08:31.893673,8,104,9,0,,f,
91,approved,2018-06-08 04:07:48.965435,2018-06-08 04:08:33.886674,8,106,9,0,,f,
92,approved,2018-06-08 04:08:14.144553,2018-06-08 04:08:36.301967,8,108,9,0,,f,
93,approved,2018-06-08 04:09:43.111186,2018-06-08 04:11:59.061297,8,110,9,0,,f,
94,pending,2018-06-08 04:12:10.477706,2018-06-08 04:12:10.477706,8,112,9,0,,f,
95,pending,2018-06-08 04:13:06.00717,2018-06-08 04:13:06.00717,8,113,9,0,,f,
96,pending,2018-06-08 04:13:06.549533,2018-06-08 04:13:06.549533,8,111,9,0,,f,
