id,room_name,room_detail,room_pin,created_at,updated_at,course_id,ratio_score,ratio_grade,point_attr
1,4-1,น่ารัก,3fa98,2018-05-20 13:23:54.979532,2018-05-25 03:02:30.925139,1,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":""70"",""type"":""exam"",""childs"":[{""text"":""สอบปลายภาค/สอบปลายภาค"",""score"":""40"",""id"":3},{""text"":""สอบกลางภาค/สอบกลางภาค"",""score"":""60"",""id"":2}]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":""30"",""type"":""saving"",""childs"":[{""text"":""การบ้าน/การบ้าน"",""score"":""30"",""id"":4},{""text"":""lab ภาษาซี/ปฏิบัติการ"",""score"":""30"",""id"":1},{""text"":""การบ้าน 2/การบ้าน"",""score"":""40"",""id"":6}]}}]}","{""choice"":""2"",""blocks"":[{""leftnum"":""80"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""A"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""75"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""B+"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""1""},{""leftnum"":""70"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""B"",""rightoper"":""<"",""rightnum"":""75"",""rightnumindex"":""2""},{""leftnum"":""65"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""C+"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""3""},{""leftnum"":""60"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""C"",""rightoper"":""<"",""rightnum"":""65"",""rightnumindex"":""4""},{""leftnum"":""55"",""leftnumindex"":""6"",""leftoper"":""<="",""gtext"":""D+"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""5""},{""leftnum"":""50"",""leftnumindex"":""7"",""leftoper"":""<="",""gtext"":""D"",""rightoper"":""<"",""rightnum"":""55"",""rightnumindex"":""6""},{""leftnum"":""0"",""leftnumindex"":""8"",""leftoper"":""<="",""gtext"":""F"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""7""}]}",2
74,ม.1/14,"",a15973,2018-08-19 07:00:24.108752,2018-08-19 07:00:24.108752,72,,,0
76,4/10,"",1b5b18,2018-08-19 07:00:50.820174,2018-08-19 07:00:50.820174,73,,,0
2,77754,"",48f940,2018-05-21 16:31:32.713776,2018-05-22 18:03:17.176477,2,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":""0"",""type"":""exam"",""childs"":[]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":""100"",""type"":""saving"",""childs"":[{""text"":""task1/แบบฝึกหัด"",""score"":""50"",""id"":5}]}}]}","{""choice"":""1"",""blocks"":[{""leftnum"":""80"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""A"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""70"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""B"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""1""},{""leftnum"":""60"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""C"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""2""},{""leftnum"":""50"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""D"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""3""},{""leftnum"":""0"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""F"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""4""}]}",1
80,ม.3/5,"",8c30df,2018-08-19 07:01:08.294792,2018-08-19 07:01:08.294792,52,,,0
81,ม3/1,"",362cef,2018-08-19 07:01:08.502831,2018-08-19 07:01:08.502831,67,,,0
85,2/1,gfdgfdgfd,3c1145,2018-08-19 07:01:21.543119,2018-08-19 07:01:21.543119,74,,,0
87,ม.3/5,"",827da8,2018-08-19 07:01:47.965765,2018-08-19 07:01:47.965765,52,,,0
91,m5/3,"",47b93f,2018-08-19 07:02:20.284515,2018-08-19 07:02:20.284515,61,,,0
92,ม.5/2,"",e5dacd,2018-08-19 07:02:21.857939,2018-08-19 07:02:21.857939,77,,,0
