id,task_name,task_detail,task_assessment,task_behavior,task_feedback,task_duedate,created_at,updated_at,course_id,room_id,task_behavior_extra,average_score,task_assignment_other,task_alert
1,lab ภาษาซี,ให้เขียนโค้ดตามที่กำหนด,ปฏิบัติการ,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""เขียนโค้ดได้เป็นระเบียบ"",""องค์ประกอบครบถ้วน"",""วางโครงสร้างดี""],""disadvantages"":[""เขียนผิดโครงสร้าง"",""จัดไม่เป็นระเบียบ"",""algorithm ผิด""],""suggestion"":[""อ่านหนังสือ "",""ดูยูทูป"",""ปรึกษผู้รู้""]}",2018-05-23 13:51:00,2018-05-20 13:58:30.420489,2018-05-22 12:56:23.463399,1,1,"{""type"":""คะแนน (scoring)"",""score"":""10""}",7.5,"",
2,สอบกลางภาค,คะแนนสอบกลางภาค,สอบกลางภาค,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-05-21 14:16:00,2018-05-20 14:16:10.835239,2018-05-21 19:14:53.190752,1,1,"{""type"":""คะแนน (scoring)"",""score"":""50""}",41.5,"",
51,การสร้างภาพกราฟิกหัวข้อ เมนูอาหาร,คะแนน 10 คะแนน,อื่นๆ,คะแนน (scoring),"{""quality"":[{""score"":""10"",""text"":""""},{""score"":""9"",""text"":""""},{""score"":""8"",""text"":""""},{""score"":""7"",""text"":""""},{""score"":""6"",""text"":""""},{""score"":""5"",""text"":""""},{""score"":""4"",""text"":""""},{""score"":""3"",""text"":""""},{""score"":""2"",""text"":""""},{""score"":""1"",""text"":""""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-08-31 07:07:00,2018-08-19 07:09:54.509195,2018-08-19 07:09:54.509195,51,34,"{""type"":""คะแนน (scoring)"",""score"":""10 คะแนน""}",0,"",2018-08-24 07:08:00
3,สอบปลายภาค,--,สอบปลายภาค,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-05-24 14:19:00,2018-05-20 14:20:02.093812,2018-05-21 19:14:56.252568,1,1,"{""type"":""คะแนน (scoring)"",""score"":""80""}",69.5,"",
52,การทดลองเรื่องไฟฟ้า,"",กิจกรรมกลุ่ม,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""เนื้อหาครบถ้วนสมบูรณ์ดี"",""สะอาดเรียบร้อย""],""disadvantages"":[""ตัวหนังสือไม่สวย"",""สะกดคำผิด"",""ลบเยอะ""],""suggestion"":[""ฝึกเขียนให้มากขึ้น""]}",2018-08-20 01:00:00,2018-08-19 07:09:55.637294,2018-08-19 07:09:55.637294,63,53,"{""type"":""คะแนน (scoring)"",""score"":""10""}",0,"",2018-08-20 01:00:00
6,การบ้าน 2,บทที่ 2,การบ้าน,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""เขียนสวย"",""ถูกต้อง""],""disadvantages"":[""ใช้คำฟุ่มเฟือย"",""สั้นไป""],""suggestion"":[""ศึกษาจากใบความรู้"",""Youtube""]}",2018-05-21 18:55:00,2018-05-21 18:53:32.183016,2018-05-22 13:02:18.65442,1,1,"{""type"":""คะแนน (scoring)"",""score"":""10""}",9,"",2018-05-21 18:54:00
4,การบ้าน,การบ้านนะจ๊ะ,การบ้าน,rating scale,"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-05-26 14:22:00,2018-05-20 14:22:09.999184,2018-05-22 08:14:41.945777,1,1,"{""type"":""rating scale"",""score"":""5"",""data"":[{""value1"":""5"",""value2"":""ดีมาก""},{""value1"":""4"",""value2"":""ดี""},{""value1"":""3"",""value2"":""ปานกลาง""},{""value1"":""2"",""value2"":""พอใช้""},{""value1"":""1"",""value2"":""ปรับปรุง""}]}",3,"",
5,task11,dd,แบบฝึกหัด,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",,2018-05-21 16:32:19.472514,2018-05-23 18:10:48.202286,2,2,"{""type"":""คะแนน (scoring)"",""score"":""5""}",5,"",
49,แบบฝึกหัด1,"",แบบฝึกหัด,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""สะอาด เรียบร้อย""],""disadvantages"":[""ไม่ขีดเส้นใต้ "",""ตัวหนังสือไม่สวย""],""suggestion"":[""เขียนให้สวยขึ้น""]}",2018-08-19 07:09:00,2018-08-19 07:09:52.847143,2018-08-19 07:09:52.847143,48,46,"{""type"":""คะแนน (scoring)"",""score"":""10""}",0,"",2018-08-18 23:35:00
66,แบบฝึกหัด,"",การบ้าน,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""เรียบร้อยสะอาด""],""disadvantages"":[""สะกดคำผิด""],""suggestion"":[""เขียนให้สวย""]}",2018-08-26 17:00:00,2018-08-19 07:10:27.745247,2018-08-19 08:07:43.034801,73,76,"{""type"":""คะแนน (scoring)"",""score"":""10""}",8,"",2018-08-19 07:10:00
